building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
NEEA-2020_4566,0.7822163911018023,78.22163587108881,2.9560452,0.42237058,16.657492,0.34007514,0.15787680073170066
NEEA-2020_4251,3.107811837484664,310.78119678812976,0.32496774,0.09841719,3.1215441,0.28630635,0.06824559020008217
NEEA-2020_2916,0.6084186546521441,60.84186296760703,2.166451,0.5117153,10.764913,0.6005783,0.2362626996565828
NEEA-2020_8166,0.6784502539121052,67.84502396184511,4.8791823,0.53912234,47.22678,0.57659227,0.2393870821175967
NEEA-2020_4771,0.6432244088829412,64.32244242138069,3.1058857,0.54431766,21.714745,0.6669428,0.25416991181287674
NEEA-2020_1706,0.7599587027548432,75.99587243888054,2.7815235,0.48485303,18.918743,0.57484,0.2213975372204987
NEEA-2020_2716,0.5169684159384901,51.69683970560449,1.8456348,0.6175015,7.1934276,0.80523086,0.28429521627537385
NEEA-2020_10226,0.6265471694281229,62.654715622143485,3.9798667,0.47324002,36.33013,0.51368004,0.19832217683470846
NEEA-2020_3831,0.6429579436640478,64.29579221144752,1.8057135,0.5602511,7.1124787,0.6846817,0.24813541729122524
NEEA-2020_8171,0.4686324521233319,46.86324571682563,2.3280008,0.58762294,10.60968,0.6759796,0.26306039862293223
NEEA-2020_8731,0.39607689550101777,39.60769098474798,3.1192698,0.466431,19.32453,0.43209356,0.18737609793164853
NEEA-2020_6351,0.6890573923617723,68.90573650684239,4.265069,0.48540127,41.459995,0.5370058,0.22045188695479323
NEEA-2020_4746,0.29661554195877304,29.66155451292467,0.6349262,0.3977354,1.6014395,0.62842375,0.18449463350841033
NEEA-2020_10146,0.679099553007612,67.9099543975054,4.04762,0.45402092,43.569916,0.5481999,0.2062633903878728
NEEA-2020_4051,1.314412654552399,131.44126434995349,0.7861987,0.36921367,2.7587256,0.6084144,0.19184447745863908
NEEA-2020_8641,0.7167742743403798,71.67742621622305,2.0277054,0.3992882,9.964355,0.3863781,0.1593221650565235
NEEA-2020_3751,0.8969544631230002,89.69544686210239,3.3555717,0.40231532,33.99869,0.48872238,0.17940518595433916
NEEA-2020_4121,0.5400633077173503,54.00632905486072,1.3451473,0.4172418,4.017953,0.38658118,0.1631603869700332
NEEA-2020_10066,0.5004258714171109,50.04258877184722,1.5632168,0.47885838,5.6347017,0.5287456,0.20558680845087285
NEEA-2020_8321,0.42578308803330067,42.578308570439056,2.0472898,0.49451873,8.582125,0.50072765,0.2127967260617109
NEEA-2020_6991,0.6297311067820558,62.973113110012164,2.3338778,0.63872135,10.322654,0.7731398,0.31166638523174195
NEEA-2020_9036,1.1588895723524255,115.88896130846217,2.9241443,0.46786478,24.635376,0.63067013,0.21643255153427052
NEEA-2020_9291,1.0340386579713898,103.40386812437212,1.0969157,0.40343162,4.221034,0.57096857,0.17635022788139937
NEEA-2020_6166,0.8769733076524697,87.69733131748266,2.0577815,0.44549826,11.292715,0.52928776,0.2026942474845392
NEEA-2020_10301,0.9871361797582662,98.71361749927871,2.0169485,0.46712467,11.220374,0.6018432,0.2164433387764483
NEEA-2020_3901,0.5307899580881397,53.078996477357975,0.42764595,0.43840986,0.7286547,0.76579696,0.1995835365769051
NEEA-2020_1168,0.4887921920838002,48.87921915041928,1.1812136,0.53155446,3.6721182,0.74362713,0.25111010243135573
NEEA-2020_10076,1.036805899077954,103.68058718898105,4.106599,0.49036914,44.482525,0.63426554,0.23411861098071937
NEEA-2020_1178,0.8465439460354464,84.65439673883937,4.1968,0.5599425,35.859257,0.6383394,0.26463779043354363
NEEA-2020_521,4.752046632566711,475.2046630682739,4.8061476,0.51576155,44.005054,0.50676453,0.2227472279604763
NEEA-2020_7532,-0.9959036204495725,-99.59035947251908,2.2001054,0.2738679,13.848448,0.21458352,0.09717196261822855
NEEA-2020_10186,0.6341329807077108,63.4132973573005,1.8325871,0.5609005,7.6722713,0.71873087,0.26283110085677636
NEEA-2020_7666,0.7837429239947544,78.37429277371494,2.7092638,0.55641997,17.15749,0.7236965,0.26865827068063874
NEEA-2020_2311,0.7882714680424996,78.82714554568811,1.9541038,0.31938228,13.325877,0.35597733,0.14180988463363634
NEEA-2020_3736,0.9849743785367582,98.49743896143086,6.3378816,0.6704726,83.74233,0.93717104,0.34322308052008876
NEEA-2020_5126,0.7361872854698785,73.61873008533502,0.51848185,0.5780963,0.6266506,0.7790379,0.28617742104445454
NEEA-2020_10191,0.5504085640803529,55.04085532588892,2.5078063,0.53284496,13.009585,0.5873232,0.24168930014901507
NEEA-2020_8136,0.8029986049168255,80.29985887554973,2.2623563,0.50082743,12.985963,0.63639736,0.23792323433277832
NEEA-2020_2581,0.7897008113129719,78.97007931104207,3.728097,0.45705712,33.927902,0.5099452,0.201010811137435
NEEA-2020_3741,0.7943704986722355,79.437049290353,3.7143037,0.6462556,27.35848,0.8282202,0.3190707256784014
NEEA-2020_2651,0.48461395608578994,48.46139645980596,1.1481246,0.44269595,3.4928873,0.5192992,0.1964057246430629
