Dataset,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM
Prayas,103.2539089433294,0.14411977,0.26508683,0.1478509,0.36848706
IBlend,20.18190553950726,62.32636,0.23206045,15157.554,0.11444713
Bareilly,63.90742572371593,0.07778293,0.46469337,0.021963662,0.56239593
NEEA,68.90573650684239,2.2623563,0.48485303,12.985963,0.5873232
MFRED,24.323531718649573,0.14788511,0.4561454,0.040819675,0.39280188
Mathura,134.03647843229336,0.09596541,0.47561133,0.023662396,0.82776535
Ireland,81.0603378929116,11.093704,0.5261698,392.19965,0.79478276
NEST,65.17100288144724,4.306798,0.41028672,87.34941,0.7927312
Enernoc,20.945490174385746,65.26981,0.3315837,9915.835,0.24084163
Smart-star,61.20511767049692,28.519983,0.4644954,2042.6316,0.5072563
